id,time,event,end_time
1,15,1,500
1,42,1,500
1,88,1,500
1,130,1,500
1,195,1,500
1,267,1,500
1,340,1,500
1,412,1,500
1,478,1,500
2,22,1,500
2,58,1,500
2,105,1,500
2,162,1,500
2,230,1,500
2,298,1,500
2,375,1,500
2,450,1,500
3,10,1,500
3,35,1,500
3,78,1,500
3,140,1,500
3,210,1,500
3,285,1,500
3,360,1,500
3,430,1,500
4,28,1,500
4,72,1,500
4,125,1,500
4,188,1,500
4,260,1,500
4,335,1,500
4,405,1,500
4,470,1,500
5,18,1,500
5,55,1,500
5,112,1,500
5,175,1,500
5,248,1,500
5,320,1,500
5,392,1,500
5,462,1,500
6,32,1,500
6,85,1,500
6,148,1,500
6,218,1,500
6,295,1,500
6,368,1,500
6,440,1,500
7,20,1,500
7,62,1,500
7,118,1,500
7,182,1,500
7,255,1,500
7,328,1,500
7,398,1,500
7,468,1,500
8,25,1,500
8,68,1,500
8,131,1,500
8,200,1,500
8,272,1,500
8,348,1,500
8,420,1,500
9,38,1,500
9,92,1,500
9,158,1,500
9,232,1,500
9,308,1,500
9,385,1,500
9,455,1,500
10,12,1,500
10,48,1,500
10,102,1,500
10,165,1,500
10,238,1,500
10,312,1,500
10,388,1,500
10,458,1,500
